PDC Year,Log name,Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
PDC20,pdc_2020_0211011.xes,Sp-DisCoveR_no_i2e_e2i,518,443,39,0,0.14971209213051825,0.7004732927653821,0.5404564315352697,0.2088391757360227,1.0,16,0,22,1.2846124172210693
PDC20,pdc_2020_0210101.xes,DisCoveR,512,386,102,0,0.34576271186440677,0.726241134751773,0.6045081967213115,0.34521287684122764,1.0,105,0,36,0.23019719123840332
PDC20,pdc_2020_0210101.xes,Sp-DisCoveR,512,386,102,0,0.34576271186440677,0.726241134751773,0.6045081967213115,0.34521287684122764,1.0,105,0,36,1.7294692993164062
PDC20,pdc_2020_0210101.xes,Sp-DisCoveR_no_i2e_e2i,512,386,102,0,0.34576271186440677,0.726241134751773,0.6045081967213115,0.34521287684122764,1.0,105,0,36,1.735506534576416
PDC20,pdc_2020_1101110.xes,DisCoveR,513,180,307,0,0.7732997481108311,0.8507462686567165,0.8151950718685832,0.6831196411062816,1.0,55,0,22,0.16636991500854492
PDC20,pdc_2020_1101110.xes,Sp-DisCoveR,513,180,307,0,0.7732997481108311,0.8507462686567165,0.8151950718685832,0.6831196411062816,1.0,52,1,23,1.1359493732452393
PDC20,pdc_2020_1101110.xes,Sp-DisCoveR_no_i2e_e2i,513,183,304,0,0.7686472819216182,0.8486352357320099,0.8121149897330595,0.6783071171747657,1.0,47,1,23,1.2649791240692139
PDC20,pdc_2020_1010101.xes,DisCoveR,501,408,91,0,0.3084745762711864,0.7106382978723405,0.591182364729459,0.31703509826226284,1.0,33,0,20,0.05051088333129883
PDC20,pdc_2020_1010101.xes,Sp-DisCoveR,501,408,91,0,0.3084745762711864,0.7106382978723405,0.591182364729459,0.31703509826226284,1.0,33,0,20,0.6313223838806152
PDC20,pdc_2020_1010101.xes,Sp-DisCoveR_no_i2e_e2i,501,408,91,0,0.3084745762711864,0.7106382978723405,0.591182364729459,0.31703509826226284,1.0,33,0,20,0.6289544105529785
PDC20,pdc_2020_1000100.xes,DisCoveR,542,5,453,0,0.9945115257958288,0.9954086317722681,0.9945414847161572,0.9899707024198086,1.0,78,0,20,0.0927884578704834
PDC20,pdc_2020_1000100.xes,Sp-DisCoveR,542,5,453,0,0.9945115257958288,0.9954086317722681,0.9945414847161572,0.9899707024198086,1.0,76,1,21,0.78812575340271
PDC20,pdc_2020_1000100.xes,Sp-DisCoveR_no_i2e_e2i,542,14,444,0,0.9844789356984479,0.9872495446265938,0.9847161572052402,0.9721224965097189,1.0,71,1,21,0.7605650424957275
PDC20,pdc_2020_1010110.xes,DisCoveR,521,47,432,0,0.9484083424807904,0.9568411386593205,0.9509394572025052,0.9095337321221111,1.0,66,0,18,0.06116628646850586
PDC20,pdc_2020_1010110.xes,Sp-DisCoveR,521,47,432,0,0.9484083424807904,0.9568411386593205,0.9509394572025052,0.9095337321221111,1.0,63,1,19,0.7424240112304688
PDC20,pdc_2020_1010110.xes,Sp-DisCoveR_no_i2e_e2i,521,53,426,0,0.9414364640883978,0.9515981735159817,0.9446764091858038,0.8984625062916425,1.0,59,1,19,0.61991286277771
PDC20,pdc_2020_0110100.xes,DisCoveR,516,224,260,0,0.6989247311827956,0.821656050955414,0.768595041322314,0.6120303854899779,1.0,130,0,32,0.27803540229797363
PDC20,pdc_2020_0110100.xes,Sp-DisCoveR,516,224,260,0,0.6989247311827956,0.821656050955414,0.768595041322314,0.6120303854899779,1.0,130,0,32,1.3309264183044434
PDC20,pdc_2020_0110100.xes,Sp-DisCoveR_no_i2e_e2i,516,224,260,0,0.6989247311827956,0.821656050955414,0.768595041322314,0.6120303854899779,1.0,130,0,32,1.344285011291504
PDC20,pdc_2020_0000110.xes,DisCoveR,552,59,389,0,0.9295101553166069,0.9492691315563199,0.9341517857142857,0.8856960899275117,1.0,62,0,18,0.20354843139648438
PDC20,pdc_2020_0000110.xes,Sp-DisCoveR,552,59,389,0,0.9295101553166069,0.9492691315563199,0.9341517857142857,0.8856960899275117,1.0,55,1,19,0.7090563774108887
PDC20,pdc_2020_0000110.xes,Sp-DisCoveR_no_i2e_e2i,552,59,389,0,0.9295101553166069,0.9492691315563199,0.9341517857142857,0.8856960899275117,1.0,55,1,19,0.6998386383056641
PDC20,pdc_2020_1011110.xes,DisCoveR,558,59,383,0,0.9284848484848485,0.9497872340425532,0.9332579185520362,0.8852435472411228,1.0,40,0,14,0.03395700454711914
PDC20,pdc_2020_1011110.xes,Sp-DisCoveR,558,59,383,0,0.9284848484848485,0.9497872340425532,0.9332579185520362,0.8852435472411228,1.0,37,1,15,0.4471464157104492
PDC20,pdc_2020_1011110.xes,Sp-DisCoveR_no_i2e_e2i,558,75,367,0,0.907292954264524,0.9370277078085643,0.9151583710407241,0.8555337405218592,1.0,33,1,15,0.4357624053955078
PDC20,pdc_2020_1000111.xes,DisCoveR,544,392,64,0,0.24615384615384614,0.7351351351351351,0.5701754385964912,0.28560716026126276,1.0,16,0,18,0.07140278816223145
PDC20,pdc_2020_1000111.xes,Sp-DisCoveR,544,392,64,0,0.24615384615384614,0.7351351351351351,0.5701754385964912,0.28560716026126276,1.0,16,0,18,0.6396703720092773
PDC20,pdc_2020_1000111.xes,Sp-DisCoveR_no_i2e_e2i,544,392,64,0,0.24615384615384614,0.7351351351351351,0.5701754385964912,0.28560716026126276,1.0,16,0,18,0.6495411396026611
